entry_id, crystal_growth_procedure
"5I5Q","CRYSTALLIZATION CONDITIONS: 40MG HEWL CO-CRYSTALLISED WITH 2.6MG     
CISPLATIN, WITH THE PLATINUM COMPOUNDS BEING IN A 3-FOLD MOLAR  EXCESS TO THE PROTEIN, 462.5 UL OF A 0.02M NAAC SOLUTION ALONG WITH 462.5 UL OF A 0.5M NANO3 SOLUTION WAS USED WITH 75 UL DMSO ADDED, BATCH, PH 4.7, EVAPORATION, TEMPERATURE 294K"
"5IDD","CRYSTALLIZATION CONDITIONS: 40MG HEWL (2.7MM) CO-CRYSTALLISED WITH   
3MG CARBOPLATIN (8.1MM). 462.5 microL OF A 0.02M NAAC SOLUTION ALONG    
REMARK 280  WITH 462.5 microL OF A 0.5M NANO3 SOLUTION WAS USED WITH 75 microL DMSO."
"5IEL","0.1M HEPES 30% v/v Jeffamine ED-2001 ; 0.2M Magnesium nitrate hexahydrate 20% w/v  Polyethylene glycol 3,350"
"5IHG","1.1 M NaCl, 0.1 M sodium acetate pH 4.4. S protein concentration :about 15 mg/ml."
"5II3","Crystals of hen egg white lysozyme-Pt compound adducts appeared in solutions consisting of 1.1 M NaCl, 0.1 M sodium acetate pH 4.4. Single crystals suitable for X-ray experiments were grown by the hanging drop vapor diffusion method using a 1:1 ratio of reservoir solution and protein adducts solution with a protein concentration of about 15 mg /ml."
"5ILC","Crystals of hen egg white lysozyme (HEWL)-Pt compound adducts appeared in solutions consisting of 1.1 M NaCl, 0.1 M sodium acetate pH 4.4. Single crystals suitable for X-ray experiments were grown by the hanging drop vapor-diffusion method using a 1:1 ratio of reservoir solution and protein adducts solution with a protein concentration of about 15 mg x ml."
"5ILF","Crystals of hen egg white lysozyme (HEWL)-Pt compound adducts appeared in solutions consisting of 1.1 M NaCl, 0.1 M sodium acetate pH 4.4. Single crystals suitable for X-ray experiments were grown by the hanging drop vapor-diffusion method using a 1:1 ratio of reservoir solution and protein adducts solution with a protein concentration of about 15 mg / ml."
"5J7C","10% PEG 6000, 0.1 M Bicine, pH 8.8"
"5JEN","0.2 M sodium nitrate, 20% (w/v) PEG 3350."
"5K2K","0.1M Tris:HCl pH8.5, 1.4M Ammonium Tartrate Dibasic"
"5K2N","0.1M Tris-HCl pH8.5, 1.4M Ammonium Tartrate Dibasic"
"5K2P","0.1M Tris-HCl pH8.5, 1.3M Ammonium Tartrate Dibasic"
"5K2Q","0.1M Tris-HCl pH8.5, 1.3M Ammonium Tartrate Dibasic"
"5K2R","0.1M Tris-HCl pH 8.5, 1.5M Ammonium Sulfate"
"5K2S","0.2M Sodium Chloride, 0.1M Sodium Citrate-Citric Acid pH5.5, 1.0M Ammonium Phosphate Dibasic"
"5KJ9","100mg/mL hen egg white lysozyme, 0.8 M NaCl, 0.1 M sodium acetate pH 4.7"
"5KKI","100 mM NaOAc, 1 M NaCl, 30% (v/v) PEG 400"
"5KKJ","100 mM NaOAc 1 M NaCl, 30% (v/v) PEG 400"
"5KXK","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXL","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXM","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXN","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXO","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXP","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXR","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXS","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXT","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXW","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXX","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXY","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KXZ","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5KY1","CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF WELL SOLUTION (1.0 M SODIUM CHLORIDE, 50 MM SODIUM ACETATE PH 4.5) AND PROTEIN (40-60 MG/ML)"
"5L3H","CRYSTALLIZATION CONDITIONS: HEWL CO-CRYSTALLIZED WITH CISPLATIN IN   
462.5 microL 0.05 M SODIUM ACETATE AND 462.5 microL 10% SODIUM CHLORIDE     
 IN 75 microL DMSO MEDIA, PH 4.7, BATCH, TEMPERATURE 295K."
"5L3I","HEWL CO-CRYSTALLIZED WITH CISPLATIN IN 462.5 microL 0.05 M SODIUM ACETATE AND 462.5 microL 10% SODIUM CHLORIDE  IN 75 microL DMSO, PH 4.7, BATCH, TEMPERATURE 295K."
"5L9J","Protein: 40-80 mg/ml of protein in 200mM NaAcetate pH 4.7
Crystallization condition: 200mM NaAcetate pH 4.7, 10% NaCl"
"5LA5","protein: 50 mg/ml of HEWL in mQ
crystallization solution: 200mM NaAcetate pH 4.7 + 10% NaCl"
"5LA8","protein: 50 mg/ml of HEWL in mQ
crystallization solution: 200mM NaAcetate pH 4.7 + 10% NaCl"
"5LAF","protein: 50 mg/ml of HEWL in mQ
crystallization solution: 200mM NaAcetate pH 4.7 + 10% NaCl"
"5LAG","Protein: 50 mg/ml of HEWL in mQ
Crystallization solution: 200 mM NaAcetate + 10% NaCl"
"5LAN","protein: 50 mg/ml of HEWL in mQ
crystallization solution: 200mM NaAcetate pH4.7 + 10% NaCl"
"5LIN","30% w/v Polyethylene glycol monomethyl ether 5,000,
1.0 M Sodium chloride, 50 mM Sodium acetate trihydrate pH 4.5"
"5LIO","30% w/v Polyethylene glycol monomethyl ether 5,000,
1.0 M Sodium chloride, 50 mM Sodium acetate trihydrate pH 4.5"
"5LVG","1M NaCl, 50 mM sodium acetate"
"5LVH","0.8 M NaCl, 50 mM sodium acetate"
"5LVI","0.8 M NaCl, 50 mM sodium acetate"
"5LVJ","0.8 M NaCl, 50 mM sodium acetate"
"5LXW","Hen Egg White Lysozyme (49mg, ie 3.2mM), cisplatin (3mg, ie 10mM), 462.5 microlitres of 0.04 M sodium acetate, 462.5 microlitres of 10% sodium chloride, and with 7.5% DMSO (75 microlitres ie 1mM), pH 4.7, batch crystallisation method and room temperature (295K).  The crystallisation pot was kept for five years."
"5LYM"
"5LYT"
"5LYZ"
"5M1Y","CRYSTALLIZATION CONDITIONS: 20MG HEWL CO-CRYSTALLISED WITH 1.2MG     
CISPLATIN WITH 75UL DMSO, 462.5UL 0.1M NAAC AND 462.5UL 1M NAI       SOLUTION"
"5MJJ","1M NaCl, 35% (v/v) ethylene glycol, 20% (w/v) PEG4000, 50 mM sodium acetate pH 3.5"
"5MYY","0.1 M Sodium acetate pH 4.8 10-12% NaCl
20-25% Ethylene Glycol
60 mg/ ml HEWL in 0.1 M Sodium acetate pH 4.8"
"5NBJ","10% NaCl, NaOAc 0.04 M"
"5NE0","90 ul (50mg/ml H2O) lysozyme solution + 20 ul of the precipitant solution (0.1M NaAc 0.6M NaCl) and 10ul 25% ethylene glycol (in water) were mixed together. 20 microliters from this mixture deposited onto the silicon nitride chip."
"5NJ1","20% ethylene glycol, 0.1 M sodium acetate at pH 4.5, 0.6 M sodium nitrate. Crystals of the adduct with AP1 were obtained upon two days soaking of pregrown HEWL crystals in a solution containing 5 mM AP1 dissolved in DMSO and added to the crystal mother liquor."
"5NJM","19.04% NaCl, 5.44% PEG 8,000, 68mM Na Acetate pH 3.0"
"5NJP","Crystals with sizes between 6 and 8 um in diameter were obtained by adding three parts of precipitant (1M NaCl, 40% ethylene glycol (v/v), 15% PEG4000 (w/v), 50 mM acetate buffer at pH 3.5, filtered through 450 nm filter) to one part of lysozyme (Sigma-Aldrich, 126 mg/ml dissolved in50 mM acetate buffer, pH 3.5, filtered through 100 nm filter) at 274K (ThermoStat C, Eppendorf, Germany). The resulting mixture was immediately subjected to rapid mixing and incubated for 30 minutes at 274K."
"5NJQ","Crystals with sizes between 6 and 8 um in diameter were obtained by adding three parts of precipitant (1M NaCl, 40% ethylene glycol (v/v), 15% PEG4000 (w/v), 50 mM acetate buffer at pH 3.5, filtered through 450 nm filter) to one part of lysozyme (Sigma-Aldrich, 126 mg/ml dissolved in50 mM acetate buffer, pH 3.5, filtered through 100 nm filter) at 274K (ThermoStat C, Eppendorf, Germany). The resulting mixture was immediately subjected to rapid mixing and incubated for 30 minutes at 274K."
"5NJR","Crystals with sizes between 6 and 8 um in diameter were obtained by adding three parts of precipitant (1M NaCl, 40% ethylene glycol (v/v), 15% PEG4000 (w/v), 50 mM acetate buffer at pH 3.5, filtered through 450 nm filter) to one part of lysozyme (Sigma-Aldrich, 126 mg/ml dissolved in50 mM acetate buffer, pH 3.5, filtered through 100 nm filter) at 274K (ThermoStat C, Eppendorf, Germany). The resulting mixture was immediately subjected to rapid mixing and incubated for 30 minutes at 274K."
"5NJS","Crystals with sizes between 6 and 8 um in diameter were obtained by adding three parts of precipitant (1M NaCl, 40% ethylene glycol (v/v), 15% PEG4000 (w/v), 50 mM acetate buffer at pH 3.5, filtered through 450 nm filter) to one part of lysozyme (Sigma-Aldrich, 126 mg/ml dissolved in50 mM acetate buffer, pH 3.5, filtered through 100 nm filter) at 274K (ThermoStat C, Eppendorf, Germany). The resulting mixture was immediately subjected to rapid mixing and incubated for 30 minutes at 274K."
"5O6Q","lysozyme was dissolved in 0.02 M sodium acetate pH 4.6 to yield 20 mg/ml and mixed 1:1 with 0.8 M sodium chloride and 0.1 M sodium acetate pH 4.6"
"5OB6","1.1 M NaCl, 0.1 M sodium acetate at pH 4.0-4.4. Adduct was prepared by mixing the protein with the metallodrug in a 1:10 molar ratio for 24 h at room temperature before crystallization trials."
"5OB7","1.1 M NaCl, 0.1 M sodium acetate at pH 4.0-4.4"
"5OB8","1.1M NaCl, 0.1 M sodium acetate pH 4.0"
"5OB9","20% Ethylene gly-col, 0.1 M sodium acetate pH 4.0, 0.6 M sodium nitrate"
"5OER","Sodium chloride"
"5OLE","20% ethylene glycol
0.1 M sodium acetate pH 4.5
0.6 M sodium nitrate"
"5OOV","0.2M Na-Tartrate, 14.7% PEG3350"
"5OOY","10% PEG3000, 0.1M Imidazole pH=8.0, 0.2M LiSO4"
"5OP1","0.2 M (NH4)2 Tart, 20 %w/v PEG 3350"
"5T3F","25% (w/v) PEG3350 and 50mM citrate buffer pH 4.0."
"5TK0","5% NaCl 0.1M sodium acetate at pH 4.5"
"5UVJ","18 % (w/v) NaCl, 6 % (v/v) PEG 6000, 1 M sodium acetate pH 3.0"
"5V4G","100mg/mL hen egg white lysozyme, 0.8 M NaCl, 0.1 M sodium acetate pH 4.7"
"5V4H","100mg/mL hen egg white lysozyme, 0.8 M NaCl, 0.1 M sodium acetate pH 4.7"
"5V4I","100mg/mL hen egg white lysozyme, 0.8 M NaCl, 0.1 M sodium acetate pH 4.7"
"5WR9","sodium chloride, PEG 6000, pH 3.0"
"5WRA","sodium chloride, PEG 6000, pH 3.0"
"5WRB","sodium chloride, PEG 6000, pH 3.0"
"5YIN","No precipitants, extensive concentration"
"5YKY","0.7M NaCl, 0.1 M acetate buffer"
"6A10","1.2M ammonium sulfate, 6%(v/v) 1,4-dioxane"
"6A4N","The concentration of the protein was 20mg/ml. The precipitant solution in the reservoir was 0.1M sodium acetate/acetic acid buffer of pH 4.6 to 5.0 containing 1.2 to 1.5M sodium chloride."
"6A4O","The concentration of the protein was 20mg/ml. The precipitant solution in the reservoir was 0.1M sodium acetate/acetic acid buffer of pH 4.6 to 5.0 containing 1.2 to 1.5M sodium chloride. The soaking solution was 0.1M sodium acetate/acetic acid buffer at pH 3.5 containing 1.4M NaCl, 25% v/v glycerol (as cryo-protectant) and 2.5M of guanidine hydrochloride."
"6A4P","The concentration of the protein was 20mg/ml. The precipitant solution in the reservoir was 0.1 M sodium acetate/acetic acid buffer of pH 4.6 to 5.0 containing 1.2 to 1.5M sodium chloride. The soaking solution was 0.1M sodium acetate/acetic acid buffer at pH 3.5 containing 1.4M NaCl, 25% v/v glycerol (as cryo-protectant) and 2.5M  of guanidine hydrochloride"
"6A4Q","The concentration of the protein was 20mg/ml. The precipitant solution in the reservoir was 0.1M sodium acetate/acetic acid buffer of pH 4.6 to 5.0 containing 1.2 to 1.5M sodium chloride. The soaking solution was 0.1M sodium acetate/acetic acid buffer at pH 3.5 containing 1.4M NaCl, 25% v/v glycerol (as cryo-protectant) and 2.5M  of guanidine hydrochloride."
"6ABN","0.1 M sodium acetate pH 4.6 and 2 M NaCl"
"6ABZ","0.1 M sodium acetate pH 4.6 and 2 M NaCl"
"6AC2","0.1 M Sodium acetate pH 4.6 and 2 M NaCl"
"6AD5","0.1 M sodium acetate pH 4.6 and 2 M NaCl"
"6ADF","0.1 M sodium acetate pH 4.6 and 2 M NaCl"
"6AEA","10% PEG 6000 and 2M NaCl"
"6AGN","1.5 M NaCl and 10% Ethanol"
"6AGR","0.1 M sodium acetate pH 4.6, 2M NaCl"
"6AHH","2 M NaCl, 10% PEG 6000"
"6AHL","0.1 M sodium acetate pH 4.6, 1.2 M NaCl"
"6APM","2.5 M NaCl, 6% PEG 6K, 0.15 M sodium acetate (pH 4.5)"
"6B7U","0.7M sodium chloride, 0.1M sodium acetate pH 4.8"
"6B7V","0.7M sodium chloride, 0.1M sodium acetate pH 4.8"
"6B7W","0.9M sodium chloride, 0.1M sodium acetate pH 4.8"
"6BO1","Hen egg white lysozyme (100mg/mL), 0.8 M sodium chloride, and 0.1 M sodium acetate pH 4.7. Ru(II)(cymene)(1,3-dimethylbenzimidazol-2-ylidene)(chlorido)2 (1.04 mg, 1 mg/mL) soak occurred in 0.8 M sodium nitrate and 0.1 M sodium acetate pH 4.7"
"6BO2","Hen egg white lysozyme (100mg/mL), 0.8 M sodium chloride, and 0.1 M sodium acetate pH 4.7. Ru(II)(cymene)(1,3-dimethylbenzimidazol-2-ylidene)(chlorido)2 (1.04 mg, 1 mg/mL) soak occurred in 0.8 M sodium nitrate and 0.1 M sodium acetate pH 4.7"
"6BRE","1.5 M Sodium Chloride, Sodium acetate"
"6CIW","0.1 M sodium acetate pH 5.0
1M NaCl"
"6D6E","Protein: 10 mg/mL
Well: 0.3 M NaNO3"
"6D6F","Protein: 10 mg/mL
Well: 0.3 M NaNO3"
"6D6G","Protein: 10 mg/mL in water
Well: 0.3 M NaNO3"
"6D6H","Protein: 10 mg/mL in water
Well: 0.3 M NaNO3"
"6F1L","0.5 M Sodium Chloride, 0.1 M Sodium Phosphate. 0.1 M Sodium Acetate"
"6F1M","0.5 M Sodium Chloride, 0.1 M Sodium Phosphate. 0.1 M Sodium Acetate"
"6F1O","0.2 M Sodium Chloride, 0.1 M Sodium Acetate"
"6F1P","0.2 M Sodium Chloride, 0.1 M Sodium Acetate"
"6F1R","0.5 M Sodium Chloride, 0.1 M Sodium Acetate"
"6F2I","100 mM Sodium acetate pH 4.6, 0.2 to 0.8 M Chlorure de Sodium. 
Tb-Xo4 was directly mixed with the protein solution at a final concentration of 100 mM prior to crystallization."
"6F2J","100 mM Sodium acetate pH 4.6, 200mM to 800 mM sodium chloride and 100 mM sodium sulfate. 
Tb-Xo4 was directly mixed with the protein solution at a final concentration of 100 mM prior to crystallization."
"6F2K","100 mM sodium acetate pH 4.6, 200 to 800 sodium chloride, 100 mM Potassium phosphate monobasic.
Tb-Xo4 was directly mixed with the protein solution at a final concentration of 100 mM prior to crystallization."
"6F9X","100 mM Lithium Sulphate, 0.3 M Sodium Chloride, 0.1 M Sodium Acetate"
"6F9Y","10 mM Lithium Sulphate, 0.3 M Sodium Chloride, 0.1 M Sodium Acetate"
"6F9Z","5 mM Ammonium Sulphate, 0.4 M Sodium Chloride, 0.1 M Sodium Acetate"
"6FA0","100 mM Ammonium Sulphate, 0.4 M Sodium Chloride, 0.1 M Sodium Acetate"
"6FRO","Sodium acetate pH 4.6 100 mM, Sodium Chloride 800 mM, potassium iodide 100 mM. 
Tb-Xo4 was directly mixed with the protein solution at a final concentration of 100 mM prior to crystallization."
"6FRQ","100 mM sodium acetate pH 4.6, 800 mM sodium chloride, 100 mM sodium and potassium tartrate, 100 mM Tb-Xo4"
"6FSJ","30 mg/ml Lysozyme in 20 mM Tris pH 7.5, 200 mM NaCl 1:1 with 1.0 M LiCl, 0.1 M Na citrate pH 4.0 20 % w/v PEG 6000 
Cryoprotectant: Etylene glycol
30 mM TCE"
"6FTR","NaCl, ethylene glycol, PEG 3350, acetate buffer pH 3.5"
"6G5C","20 mg/ml Lys in 
TiO2 2.56 mg/ml (JRC NM-101 )

Well/solution
10% (w/v) sodium chloride 
0.1 M Sodium acetate buffer pH 5.0 
25% (v/v) ethylene glycol 
drop 4 microliter  Lys + 2 microliter TiO2"
"6G5V","0.8 M succinic acid/NaOH, 0.10 M HEPES pH 7.0, 1% MPEG 2K"
"6G5Y","20% ethylene glicol, 0.10 M sodium acetate pH 4.4, 0.60 M sodium nitrate"
"6G8A","5% PEG MME 5000, 2 M NaCl, 50 mM Sodium Acetate pH 4.5, 25%
480 ethylene glycol"
"6GF0","20 % NaCl, 6 % PEG 6000, 0.1 M sodium acetate pH 3.0"
"6GNL","1.75 mM HEWL, 0.88 mM 2:2 Zr(IV)-Keggin, 1.5 M NH4Cl, 0.1 M Bis-Tris propane pH = 7.0"
"6GOB","20% ethylene glycol
0.1 M sodium acetate pH 4.4
0.6 M sodium nitrate"
"6GOH","20% ethylene glycol
0.1 M sodium acetate pH 4.4 
0.6 M sodium nitrate"
"6GOI","20% ethylene glycol
0.6 M sodium nitrate
0.1 M sodium acetate pH 4.4"
"6GOJ","20% ethylene glycol
0.6 M sodium nitrate
0.1 M sodium acetate pH 4.4"
"6H0K","20% NaCl, 6% PEG 6000"
"6H0L","20% NaCl, 6% PEG 6000"
"6H79","3:1 v/v precipitant solution:protein solution
precipitant: 50 mM NaAc pH 3.5, 1M NaCl, 35% ethylene glycol, 20% PEG3350
protein buffer: 50 mM NaAc (pH 3.5)"
"6HT2","1.5 M SODIUM CHLORIDE"
"6HY4","1.40 mM HEWL, 1.0 mM 1:1 Co(II)-Wells-Dawson, 0.50 M LiCl, 30% PEG 6000, 0.1 M Citric acid pH = 4.0"
"6HY6","1.40 mM HEWL, 1.0 mM 1:1 Ni(II)-Wells-Dawson, 0.75 M LiCl, 30% PEG 6000, 0.1 M Citric acid pH = 4.0"
"6HY8","1.75 mM HEWL, 0.8 mM 1:1 Cu(II)-Wells-Dawson, 2.60 M NaCl, 0.1 M Bis-Tris pH = 5.5"
"6HYB","1.75 mM HEWL, 0.8 mM 1:1 Zr(IV)-Wells-Dawson, 1 M LiCl, 30% PEG 6000, 0.1 M Citric acid pH = 4.0"
"6IG6","sodium acetate, PEG 8000, NaCl"
"6IRJ","sodium acetate, PEG 8000, NaCl"
"6JB2","20mM TRIS HCl, 100mM NaCl, 100mM Sodium nitrate, 16% (w/v) PEG 3350"
"6JB5","20mM Tris-HCl pH 8.0, 100mM NaCl, 100mM LiCl, 18 % PEG 3350"
"6JB8","20mM Tris-HCl, 100mM NaCl, 100mM NaNO3, 16% PEG 3350"
"6JXP","sodium acetate, PEG 8000, NaCl"
"6JXQ","sodium acetate, PEG 8000, NaCl"
"6JZI","28% NaCl, 8% PEG6000, 0.1 M Na-acetate pH 3.0"
"6K5Q","100mM Sodium Acetate pH 4.5, 20% (v/v) Ethylene Glycol"
"6K8G","NaCl, sodium acetate-d3, acetic acid-d4, 100% D2O"
"6KCB","sodium acetate, PEG 8000, NaCl"
"6KCD","sodium acetate, PEG 8000, NaCl"
"6KD1","sodium acetate, PEG 8000, NaCl"
"6LL3","sodium acetate, PEG 8000, NaCl"
"6LT5","50mM sodium acetate, 1.5M NaCl, pH 4.5"
"6LYT"
"6LYZ"
"6MQV","1.5M lithium chloride, 0.2M sodium acetate, 40% polyethelyene glycol 6,000"
"6MUZ","50 mg/ml Lysozyme solution (in deionized H2O) was used for crystallization. A mixture of 1 mL of Lysozyme sample and 3 mL of precipitant (20% w/v NaCl, 6% PEG 6K, 0.5 M NaOAc pH 4.0)"
"6MX9","10uL of 50mM 3-aminophenol was deposited on a cover slip and allowed to dry.  A 20 uL pellet of 4% sodium chloride + 5% ethylene glycol + 10% glycerol in 2% agar was deposited on the cover slip.  Adjacent to this was positioned lysozyme (10 ul of 30 mg/ml lysozyme in 100 mM sodium acetate pH 4.6).  The cover slip was equilibrated over precipitant containing all the crystallization components."
"6O2H","8 microliter drops with 5-15 mg/mL protein, 224-300 mM NaNO3, 50 mM NaOAc pH 4.5, under paraffin oil"
"6P4A","100 mM Bis-Tris propane, pH 7.0, 22% PEG3350"
"6P4B","100 mM citrate, pH 4.2, 1 M lithium chloride, 11% w/v PEG3350"
"6P4D","12 mg/mL protein, 25 mM Tris, pH 8.0, 150 mM sodium chloride, spontaneous crystal growth"
"6PBB","0.2 M Ammonium acetate, 20% w/v Polyethylene glycol 3,350"
"6PL9","Hen egg white lysozyme (100mg/mL), 0.8 M sodium chloride, and 0.1 M sodium acetate pH 4.7. Rh(III)(Cp*)(1,3-dimethylbenzimidazol-2-ylidene)(Cl)2 (1.09 mg, 1 mg/mL) soak occurred in 0.8 M sodium nitrate and 0.1 M sodium acetate pH 4.7"
"6PLA","Hen egg white lysozyme (100mg/mL), 0.8 M sodium chloride, and 0.1 M sodium acetate pH 4.7. Os(II)(cymene)(1,3-dimethylbenzimidazol-2-ylidene)(Cl)2 (1.04 mg, 1 mg/mL) soak occurred in 0.8 M sodium nitrate and 0.1 M sodium acetate pH 4.7"
"6PLB","Hen egg white lysozyme (100mg/mL), 0.8 M sodium chloride, and 0.1 M sodium acetate pH 4.7. Ir(III)(Cp*)(1,3-dimethylbenzimidazol-2-ylidene)(chlorido)2 (1.13 mg, 1 mg/mL) soak occurred in 0.8 M sodium nitrate and 0.1 M sodium acetate pH 4.7"
"6Q88","20 % NaCl  
6 % PEG 6000 
150 mM ammonium acetate pH 4.0"
"6Q8R","10 % (W/V) NACL, 0.1 M ACETATE BUFFER PH 4.8. + 25 % (V/V) ETH-GLYCOL"
"6Q8T","20 % NaCl 
6 % PEG 6000
150 mM ammonium acetate pH 4.0"
"6QEA","20% glycol ethylene
0.1 M sodium acetate pH 4.4
0.6 M sodium nitrate"
"6QNB","20 mM NaAcetate pH 4.7, 50 mM NaCl"
"6QQ3","10 % w/v NaCl, 25 % w/v ethylene glycol, 100 mM Na Acetate pH 4.8"
"6QQC","6-9% NaCl et 0.1M Na Acetate pH 4.8."
"6QQD","6-9% NaCl, 0.1M Na Acetate pH 4.8"
"6QQE","6-9% NaCl, 0.1M Na Acetate pH 4.8"
"6QQF","6-9% NaCl, 0.1M Na Acetate pH4.8"
"6QWW","CuCl2"
"6QWX","NiCl2"
"6QWY","NaCl"
"6QWZ","KCl"
"6QX0","LiCl"
"6QXW","50mM sodium acetate, 0.75M sodium chloride, 30% ethylene glycol, 11.25% polyethylene glycol 400"
"6QXX","50mM sodium acetate 3.5, 0.75M sodium chloride, 30% ethylene glycol, 11.25% polyethylene glycol 400"
"6QXY","50mM sodium acetate 3.5, 0.75M sodium chloride, 30% ethylene glycol, 11.25% polyethylene glycol 400"
"6QY0","50mM sodium acetate 3.5, 0.75M sodium chloride, 30% ethylene glycol, 11.25% polyethylene glycol 400"
"6QY1","50mM sodium acetate 3.5, 0.75M sodium chloride, 30% ethylene glycol, 11.25% polyethylene glycol 400"
"6QY2","50mM sodium acetate 3.5, 0.75M sodium chloride, 30% ethylene glycol, 11.25% polyethylene glycol 400"
"6QY4","50mM sodium acetate 3.5, 0.75M sodium chloride, 30% ethylene glycol, 11.25% polyethylene glycol 400"
"6QY5","50mM sodium acetate 3.5, 0.75M sodium chloride, 30% ethylene glycol, 11.25% polyethylene glycol 400"
"6RNB","20 mM NaAcetate pH 4.7, 50 mM NaCl"
"6RNC","20 mM NaAcetate pH 4.7, 50 mM NaCl"
"6RO3","Standard hen egg white lysozyme (20 mg) crystallisation conditions were used of 10% NaCl, NaOAc 0.04 M (pH 4.7) and the fac-[Et4N]2[Re(CO)3(Br)3] at 0.03 M in 1.4 ml water, in sitting drop conditions, initially included with DMSO (at 7.5 % v/v)."
"6RO5","Standard hen egg white lysozyme (20 mg) crystallisation conditions were used of 10% NaCl, NaOAc 0.04 M (pH 4.7) and the fac-[Et4N]2[Re(CO)3(Br)3] at 0.03 M in 1.4 ml water, in sitting drop conditions, initially included with DMSO (at 7.5 % v/v)."
"6RT1","100 mM Sodium Acetate pH 4.8, 10% (w/v) NaCl, 25% (v/v) Ethylene Glycol"
"6RT3","0.1M Sodium Acetate pH 4.8, 10% (w/v) NaCl, 25% (v/v) Ethylene Glycol"
"6RT9","0.2M Sodium Acetate pH 4.7, 3% (w/v) NaCl, 300 g/L sucrose"
"6RTA","0.2M Sodium Acetate pH 4.7, 3% (w/v) NaCl, 300 g/L Ficoll"
"6RXI","30 mg/mL lysozyme in 100 mM NaAc (pH3.0) rapidly mixed in a 1:1 ratio with precipitant (100 mM NaAc pH 3.0, 20% NaCl, 6% PEG 6000)"
"6S7N","0.2 M sodium chloride, 5mM lithium sulphate, 0.1M sodium acetate"
"6SET","20% ethylene glycol
0.1 M sodium acetate pH 4.5
0.6 M sodium nitrate"
"6SEU","20% ethylene glycol
0.1 M sodium acetate pH 4.5
0.6 M sodium nitrate"
"6SEW","20% ethylene glycol
0.1 M sodium acetate pH 4.5
0.6 M sodium nitrate"
"6SEX","20% ethylene glycol 
0.1 M sodium acetate pH 4.5
0.6 M sodium nitrate"
"6SEZ","20% ethylene glycol
0.1 M sodium acetate pH 4.5
0.6 M sodium nitrate"
"6SIJ","50mM Na acetate pH 4.5 1M NaCl 25% Ethylene glycol"
"6SIK","50mM Na acetate pH 4.5 1M NaCl 25% Ethylene glycol"
"6SIL","50mM Na Acetate pH 4.5 1M NaCl 25% Ethylene glycol"
"6SIM","50mM Na Acetate pH 4.5 1M NaCl 25% Ethylene glycol"
